Record ID,Protocol_RID,Label,Caption,File_Name,File_URI,File_Bytes,File_MD5,Release_Date,Consortium,Record Creation Time,Record Modified Time
17-E8V2,17-E8P0,Recipe for mBPEL medium,,17-E8P0_BPEL_recipe_for_RBK.jpg,Source_Files/17-E8P0_BPEL_recipe_for_RBK.jpg,121020,b7b7d778c27fe2fbc81fcd296ed5caef,2021-08-08,RBK,2021-08-06T03:20:56.127262+00:00,2021-08-08T21:59:57.591366+00:00
17-E8V4,17-E8P0,Recipe for Stage II medium,,17-E8P0_stage_II_recipe_for_RBK.jpg,Source_Files/17-E8P0_stage_II_recipe_for_RBK.jpg,128943,c1c8fd355c4b1a913c93085b1bbdef33,2021-08-08,RBK,2021-08-06T03:21:42.211076+00:00,2021-08-08T22:03:24.948933+00:00
17-E8V6,17-E8P0,Figure 2,,17-E8P0_Figure_2.docx,Source_Files/17-E8P0_Figure_2.docx,720512,73ffa182c9b1110ae70ac1488fce5fad,2021-08-08,RBK,2021-08-06T03:27:19.626739+00:00,2021-08-08T22:03:53.13513+00:00
17-E8V8,17-E8P0,Figure 3,,17-E8P0_Figure_3.docx,Source_Files/17-E8P0_Figure_3.docx,538245,6afb67af868ea78f1172f9a4ce208307,2021-08-08,RBK,2021-08-06T03:27:54.670336+00:00,2021-08-08T22:03:53.986058+00:00
17-E8VA,17-E8P0,Figure 4,,17-E8P0_Figure_4.docx,Source_Files/17-E8P0_Figure_4.docx,342509,a2bebf055e8734b6e9eb19eb056e8cac,2021-08-08,RBK,2021-08-06T03:28:14.307594+00:00,2021-08-08T22:03:57.10039+00:00
17-E9MW,17-DSQ0,E5-ILP medium composition,"Pipette all the reagents except the chemically defined lipids and anti-mycoplasma reagent directly into the upper chamber of a 0.22 µm Stericup filtration unit. After filtration, add the lipids and anti-mycoplasma reagent. Store at 4 °C for up to two weeks.",17-DSQ0_E5-ILP-table1.png,Source_Files/17-DSQ0_E5-ILP-table1.png,50697,89920846ea7657412fbdf70fd8f12945,2022-06-30,RBK,2021-09-07T21:45:45.959262+00:00,2022-06-30T19:58:39.749816+00:00
17-E9MY,17-DSQ0,Stage II medium composition,"Pipette all the reagents except and anti-mycoplasma reagent directly into the upper chamber of a 0.22 µm Stericup filtration unit. Once filtered, add anti-mycoplasma reagent. Store at 4 °C for up to two weeks",17-DSQ0_Stage2-table2.png,Source_Files/17-DSQ0_Stage2-table2.png,59151,491d0055f5cd5754b8980e1189ca188e,2022-06-30,RBK,2021-09-07T21:50:04.956934+00:00,2022-06-30T19:58:39.749816+00:00
17-H2V4,17-H2V0,Expectations of success,,17-H2V0_Organoid_tubules.png,Source_Files/17-H2V0_Organoid_tubules.png,192869,dc65b1cc47836355607bfeb0d2580831,,RBK,2022-03-21T21:10:22.353057+00:00,2022-03-21T21:10:22.353057+00:00
17-H2V6,17-H2V0,0.1 ml bubble in Petri dish,,17-H2V0_bubble.png,Source_Files/17-H2V0_bubble.png,205180,63a06cfd1a36f403025927d5ccc798b5,,RBK,2022-03-21T21:17:49.843587+00:00,2022-03-21T21:17:49.843587+00:00
17-H3X8,17-H3TG,Figure1,,17-H3TG_Figure1.png,Source_Files/17-H3TG_Figure1.png,1095492,110991d2c2569b53e428e20ce21591f5,,RBK,2022-04-16T21:27:26.848849+00:00,2022-04-16T21:27:26.848849+00:00
17-H3XA,17-H3TG,Figure2,,17-H3TG_Figure2.png,Source_Files/17-H3TG_Figure2.png,1887591,a751bffe6d63db076c05b782cd7c37d8,,RBK,2022-04-16T21:29:19.296924+00:00,2022-04-16T21:29:19.296924+00:00
17-H3XE,17-H3TG,anticipated results,,17-H3TG_Anticipated_results.png,Source_Files/17-H3TG_Anticipated_results.png,173993,5fb24f01efe95ca616fc329d198d926c,,RBK,2022-04-16T21:34:29.211812+00:00,2022-04-16T21:34:29.211812+00:00
17-H3XG,17-H3TG,Solutions,,17-H3TG_Solutions.png,Source_Files/17-H3TG_Solutions.png,41652,9f15dfbdc9ea86fff85d4d9ca88dbfee,,RBK,2022-04-18T04:33:11.078998+00:00,2022-04-18T04:33:11.078998+00:00
17-H494,17-H480,chamber 1,,17-H480_Figure1.png,Source_Files/17-H480_Figure1.png,1095492,110991d2c2569b53e428e20ce21591f5,,RBK,2022-06-29T13:47:03.950526+00:00,2022-06-29T16:41:00.97995+00:00
17-H496,17-H480,chamber 2,,17-H480_Figure2.png,Source_Files/17-H480_Figure2.png,1887591,a751bffe6d63db076c05b782cd7c37d8,,RBK,2022-06-29T13:48:31.207618+00:00,2022-06-29T16:41:19.750325+00:00
17-H498,17-H480,Anticipated results Ca2+,,17-H480_Anticipated_results_Ca2_.png,Source_Files/17-H480_Anticipated_results_Ca2_.png,141157,38236ee22bfd3251ecd4df872256383b,,RBK,2022-06-29T13:52:37.933827+00:00,2022-06-29T13:52:37.933827+00:00
