Protocol_RID,File_Name,URI,File_Bytes,File_MD5
14-3R92,14-3R92_ISH.pdf,Source_Files/14-3R92_ISH.pdf,602961,1a3ef5faa14ddd08e61a5fe07586d2b2
14-3R9C,14-3R9C_FISH.pdf,Source_Files/14-3R9C_FISH.pdf,593128,66345b66b3f260c2828241682f76f9e5
14-3R9P,14-3R9P_One-color_FISH.docx,Source_Files/14-3R9P_One-color_FISH.docx,12914,bfa1332bcebbcdc8ed57cc37471bccb3
14-3RA6,14-3RA6_Two-color_FISH.pdf,Source_Files/14-3RA6_Two-color_FISH.pdf,109381,6d41c31d5969f07577ff34b3237a36d4
14-3RAG,14-3RAG_GAIDO_PROBE.pdf,Source_Files/14-3RAG_GAIDO_PROBE.pdf,104346,e51992dcf2dca9e06ee247be89d8d00f
14-3RCM,14-3RCM_Determination_of_Cellular_Localization_of_ISH_Patterns.docx,Source_Files/14-3RCM_Determination_of_Cellular_Localization_of_ISH_Patterns.docx,7741,6b765a37a810dd14dbc5fd33a13d02fb
14-3RFP,14-3RFP_Library_construction_protocol_for_nanogram_amounts_of_total_RNA_for_RNAseq_-_LOW_VOLUME.docx,Source_Files/14-3RFP_Library_construction_protocol_for_nanogram_amounts_of_total_RNA_for_RNAseq_-_LOW_VOLUME.docx,7795,d616e18d41097fa9c50133ff904ec256
N-H98E,N-H98E_COHN_LCM_Protocol.pdf,Source_Files/N-H98E_COHN_LCM_Protocol.pdf,106447,c92b2c11a34519c4931160152bb30ef1
N-H98G,N-H98G_Cryostat_Sectioning.pdf,Source_Files/N-H98G_Cryostat_Sectioning.pdf,33410,111cd7de775bcc0dc2d4374ad0bba835
N-H98J,N-H98J_Laser_Capture_Microdissection__Adapted_from_the_Arcturus_protocols_.pdf,Source_Files/N-H98J_Laser_Capture_Microdissection__Adapted_from_the_Arcturus_protocols_.pdf,38685,785969fb6a1a3c759b2599b12a43def4
N-H98M,N-H98M_Microarray_Screening.pdf,Source_Files/N-H98M_Microarray_Screening.pdf,21042,745490e23a4ca45612f000d95bef0b05
N-H98P,N-H98P_RNA_Amplification.pdf,Source_Files/N-H98P_RNA_Amplification.pdf,20611,5dcf49a538c2ae807e5f1372da2ebea6
N-H98R,N-H98R_RNA_Isolation.pdf,Source_Files/N-H98R_RNA_Isolation.pdf,20307,e55d1eed70e40f21a7c82859334135fa
N-H98T,N-H98T_Tissue_isolation_and_embedding_in_OCT__Optimal_Cutting_Temperature_Compound_.pdf,Source_Files/N-H98T_Tissue_isolation_and_embedding_in_OCT__Optimal_Cutting_Temperature_Compound_.pdf,28307,80cab99bb1724dca632124c622c45713
N-H98W,N-H98W_Digoxigenin-labelled_Riboprobe_Synthesis_from_a_PCR-generated_DNA_template.pdf,Source_Files/N-H98W_Digoxigenin-labelled_Riboprobe_Synthesis_from_a_PCR-generated_DNA_template.pdf,113286,944721f2c3f94ffdd13b76be85832598
